group,item,sentence,lexicon,quantifier,noun,condition,imga,imgb
A,1,A adolescente comprou muita régua em Roma.,régua,QS,NC,QS+NC,img1.png,img2.png
A,2,O homem vendeu muitas penas em Madrid.,penas,QP,NCP,QP+NCP,img1.png,img2.png
A,3,O empresário viu muita paina em Lisboa.,paina,QS,NM,QS+NM,img1.png,img2.png
A,4,O bombeiro achou muitas lavas em Oslo.,lavas,QP,NMP,QP+NMP,img1.png,img2.png
A,5,A camponesa acumulou muita sela em Macau.,sela,QS,NC,QS+NC,img1.png,img2.png
A,6,O detetive coletou muitas fotos em Manaus.,fotos,QP,NCP,QP+NCP,img1.png,img2.png
A,7,A turista encontrou muita ralé em Boston.,ralé,QS,NM,QS+NM,img1.png,img2.png
A,8,O ladrão roubou muitas gentes em Paris.,gentes,QP,NMP,QP+NMP,img1.png,img2.png
A,9,A empregada limpou muita festa em Dublin.,festa,QS,NC,QS+NC,img1.png,img2.png
A,10,O pesquisador procurou muitas praças em Londres.,praças,QP,NCP,QP+NCP,img1.png,img2.png
A,11,A depiladora encomendou muita cera em Dallas.,cera,QS,NM,QS+NM,img1.png,img2.png
A,12,O estudante relatou muitas fomes em Berlim.,fomes,QP,NMP,QP+NMP,img1.png,img2.png
A,13,A motorista tomou muita multa em Praga.,multa,QS,NC,QS+NC,img1.png,img2.png
A,14,A menina desenhou muitas cartas em Denver.,cartas,QP,NCP,QP+NCP,img1.png,img2.png
A,15,O homem juntou muita brita em Mumbai.,brita,QS,NM,QS+NM,img1.png,img2.png
A,16,O mecânico perdeu muitas forças em Moscou.,forças,QP,NMP,QP+NMP,img1.png,img2.png
B,1,A adolescente comprou muitas réguas em Roma.,reguas,QP,NCP,QP+NCP,img1.png,img2.png
B,2,O homem vendeu muita pena em Madrid.,pena,QS,NC,QS+NC,img1.png,img2.png
B,3,O empresário viu muitas painas em Lisboa.,painas,QP,NMP,QP+NMP,img1.png,img2.png
B,4,O bombeiro achou muita lava em Oslo.,lava,QS,NM,QS+NM,img1.png,img2.png
B,5,A camponesa acumulou muitas selas em Macau.,selas,QP,NCP,QP+NCP,img1.png,img2.png
B,6,O detetive coletou muita foto em Manaus.,foto,QS,NC,QS+NC,img1.png,img2.png
B,7,A turista encontrou muitas ralés em Boston.,ralés,QP,NMP,QP+NMP,img1.png,img2.png
B,8,O ladrão roubou muita gente em Paris.,gente,QS,NM,QS+NM,img1.png,img2.png
B,9,A empregada limpou muitas festas em Dublin.,festass,QP,NCP,QP+NCP,img1.png,img2.png
B,10,O pesquisador procurou muita praça em Londres.,praça,QS,NC,QS+NC,img1.png,img2.png
B,11,A depiladora encomendou muitas ceras em Dallas.,ceras,QP,NMP,QP+NMP,img1.png,img2.png
B,12,O estudante relatou muita fome em Berlim.,fome,QS,NM,QS+NM,img1.png,img2.png
B,13,A motorista tomou muitas multas em Praga.,multas,QP,NCP,QP+NCP,img1.png,img2.png
B,14,A menina desenhou muita carta em Denver.,carta,QS,NC,QS+NC,img1.png,img2.png
B,15,O homem juntou muitas britas em Mumbai.,britas,QP,NMP,QP+NMP,img1.png,img2.png
B,16,O mecânico perdeu muita força em Moscou.,força,QS,NM,QS+NM,img1.png,img2.png
C,1,A adolescente comprou muita base em Roma.,base,QS,NM,QS+NM,img1.png,img2.png
C,2,O homem vendeu muitas pratas em Madrid.,pratas,QP,NMP,QP+NMP,img1.png,img2.png
C,3,O empresário viu muita bolsa em Lisboa.,bolsa,QS,NC,QS+NC,img1.png,img2.png
C,4,O bombeiro achou muitas bombas em Oslo.,bombas,QP,NCP,QP+NCP,img1.png,img2.png
C,5,A camponesa acumulou muita raiva em Macau.,raiva,QS,NM,QS+NM,img1.png,img2.png
C,6,O detetive coletou muitas fibras em Manaus.,fibras,QP,NMP,QP+NMP,img1.png,img2.png
C,7,A turista encontrou muita capa em Boston.,capa,QS,NC,QS+NC,img1.png,img2.png
C,8,O ladrão roubou muitas boinas em Paris.,boinas,QP,NCP,QP+NCP,img1.png,img2.png
C,9,A empregada limpou muita crina em Dublin.,crina,QS,NM,QS+NM,img1.png,img2.png
C,10,O pesquisador procurou muitas floras em Londres.,floras,QP,NMP,QP+NMP,img1.png,img2.png
C,11,A depiladora encomendou muita mesa em Dallas.,mesa,QS,NC,QS+NC,img1.png,img2.png
C,12,O estudante relatou muitas sagas em Berlim.,sagas,QP,NCP,QP+NCP,img1.png,img2.png
C,13,A motorista tomou muita chuva em Praga.,chuva,QS,NM,QS+NM,img1.png,img2.png
C,14,A menina desenhou muitas matas em Denver.,matas,QP,NMP,QP+NMP,img1.png,img2.png
C,15,O homem juntou muita tela em Mumbai.,tela,QS,NC,QS+NC,img1.png,img2.png
C,16,O mecânico perdeu muitas pinças em Moscou.,pinças,QP,NCP,QP+NCP,img1.png,img2.png
D,1,A adolescente comprou muitas bases em Roma.,bases,QP,NMP,QP+NMP,img1.png,img2.png
D,2,O homem vendeu muita prata em Madrid.,prata,QS,NM,QS+NM,img1.png,img2.png
D,3,O empresário viu muitas bolsas em Lisboa.,bolsas,QP,NCP,QP+NCP,img1.png,img2.png
D,4,O bombeiro achou muita bomba em Oslo.,bomba,QS,NC,QS+NC,img1.png,img2.png
D,5,A camponesa acumulou muitas raivas em Macau.,raivas,QP,NMP,QP+NMP,img1.png,img2.png
D,6,O detetive coletou muita fibra em Manaus.,fibra,QS,NM,QS+NM,img1.png,img2.png
D,7,A turista encontrou muitas capas em Boston.,capas,QP,NCP,QP+NCP,img1.png,img2.png
D,8,O ladrão roubou muita boina em Paris.,boina,QS,NC,QS+NC,img1.png,img2.png
D,9,A empregada limpou muitas crinas em Dublin.,crinas,QP,NMP,QP+NMP,img1.png,img2.png
D,10,O pesquisador procurou muita flora em Londres.,flora,QS,NM,QS+NM,img1.png,img2.png
D,11,A depiladora encomendou muitas mesas em Dallas.,mesas,QP,NCP,QP+NCP,img1.png,img2.png
D,12,O estudante relatou muita saga em Berlim.,saga,QS,NC,QS+NC,img1.png,img2.png
D,13,A motorista tomou muitas chuvas em Praga.,chuvas,QP,NMP,QP+NMP,img1.png,img2.png
D,14,A menina desenhou muita mata em Denver.,mata,QS,NM,QS+NM,img1.png,img2.png
D,15,O homem juntou muitas telas em Mumbai.,telas,QP,NCP,QP+NCP,img1.png,img2.png
D,16,O mecânico perdeu muita pinça em Moscou.,pinça,QS,NC,QS+NC,img1.png,img2.png
